Car_Name,Fuel_Type,Aspiration,Car_Body,Drive_Wheel,Engine_Location,Wheelbase,Car_Length,Car_Width,Car_Height,Cylinder_Number,Engine_Size,Horse_Power,Price
alfa-romero giulia,gas,std,convertible,rwd,front,88.6,168.8,64.1,48.8,four,130,111,13495
alfa-romero stelvio,gas,std,convertible,rwd,front,88.6,168.8,64.1,48.8,four,130,111,16500
alfa-romero Quadrifoglio,gas,std,hatchback,rwd,front,94.5,171.2,65.5,52.4,six,152,154,16500
audi 100 ls,gas,std,sedan,fwd,front,99.8,176.6,66.2,54.3,four,109,102,13950
audi 100ls,gas,std,sedan,4wd,front,99.4,176.6,66.4,54.3,five,136,115,17450
audi fox,gas,std,sedan,fwd,front,99.8,177.3,66.3,53.1,five,136,110,15250
audi 100ls,gas,std,sedan,fwd,front,105.8,192.7,71.4,55.7,five,136,110,17710
audi 5000,gas,std,wagon,fwd,front,105.8,192.7,71.4,55.7,five,136,110,18920
audi 4000,gas,turbo,sedan,fwd,front,105.8,192.7,71.4,55.9,five,131,140,23875
audi 5000s (diesel),gas,turbo,hatchback,4wd,front,99.5,178.2,67.9,52,five,131,160,17859.167
bmw 320i,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,four,108,101,16430
bmw 320i,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,four,108,101,16925
bmw x1,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,six,164,121,20970
bmw x3,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,six,164,121,21105
bmw z4,gas,std,sedan,rwd,front,103.5,189,66.9,55.7,six,164,121,24565
bmw x4,gas,std,sedan,rwd,front,103.5,189,66.9,55.7,six,209,182,30760
bmw x5,gas,std,sedan,rwd,front,103.5,193.8,67.9,53.7,six,209,182,41315
bmw x3,gas,std,sedan,rwd,front,110,197,70.9,56.3,six,209,182,36880
chevrolet impala,gas,std,hatchback,fwd,front,88.4,141.1,60.3,53.2,three,61,48,5151
chevrolet monte carlo,gas,std,hatchback,fwd,front,94.5,155.9,63.6,52,four,90,70,6295
chevrolet vega 2300,gas,std,sedan,fwd,front,94.5,158.8,63.6,52,four,90,70,6575
dodge rampage,gas,std,hatchback,fwd,front,93.7,157.3,63.8,50.8,four,90,68,5572
dodge challenger se,gas,std,hatchback,fwd,front,93.7,157.3,63.8,50.8,four,90,68,6377
dodge d200,gas,turbo,hatchback,fwd,front,93.7,157.3,63.8,50.8,four,98,102,7957
dodge monaco (sw),gas,std,hatchback,fwd,front,93.7,157.3,63.8,50.6,four,90,68,6229
dodge colt hardtop,gas,std,sedan,fwd,front,93.7,157.3,63.8,50.6,four,90,68,6692
dodge colt (sw),gas,std,sedan,fwd,front,93.7,157.3,63.8,50.6,four,90,68,7609
dodge coronet custom,gas,turbo,sedan,fwd,front,93.7,157.3,63.8,50.6,four,98,102,8558
dodge dart custom,gas,std,wagon,fwd,front,103.3,174.6,64.6,59.8,four,122,88,8921
dodge coronet custom (sw),gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,50.2,four,156,145,12964
honda civic,gas,std,hatchback,fwd,front,86.6,144.6,63.9,50.8,four,92,58,6479
honda civic cvcc,gas,std,hatchback,fwd,front,86.6,144.6,63.9,50.8,four,92,76,6855
honda civic,gas,std,hatchback,fwd,front,93.7,150,64,52.6,four,79,60,5399
honda accord cvcc,gas,std,hatchback,fwd,front,93.7,150,64,52.6,four,92,76,6529
honda civic cvcc,gas,std,hatchback,fwd,front,93.7,150,64,52.6,four,92,76,7129
honda accord lx,gas,std,sedan,fwd,front,96.5,163.4,64,54.5,four,92,76,7295
honda civic 1500 gl,gas,std,wagon,fwd,front,96.5,157.1,63.9,58.3,four,92,76,7295
